location_id,name,locality,timezone,country_code,provider_name,isMobile,isMonitor,latitude,longitude
2008,San Jose - Jackson S,San Jose-Sunnyvale-Santa Clara,America/Los_Angeles,US,AirNow,False,True,37.3483,-121.8947
2009,San Francisco,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.765800000000006,-122.3978
2011,San Diego - Kearny V,San Diego-Carlsbad-San Marcos,America/Los_Angeles,US,AirNow,False,True,32.845467,-117.123894
2012,San Diego - Beardsle,,America/Los_Angeles,US,AirNow,False,True,32.701492,-117.149651
2013,Nashua - Gilson Rd.,,America/New_York,US,AirNow,False,True,42.7019,-71.445
2014,Natomas - Goldenland,,America/Los_Angeles,US,AirNow,False,True,38.650716,-121.50665
2015,San Bernadino - 4th,,America/Los_Angeles,US,AirNow,False,True,34.1072,-117.2731
2016,San Antonio Palo Alt,,America/Chicago,US,AirNow,False,True,29.332803,-98.551396
2017,San Antonio Old Hwy9,San Antonio,America/Chicago,US,AirNow,False,True,29.423933,-98.580505
2018,San Antonio Northwes,San Antonio,America/Chicago,US,AirNow,False,True,29.514999,-98.620003
2019,San Antonio,Tampa-St. Petersburg-Clearwater,America/New_York,US,AirNow,False,True,28.3322,-82.3056
2021,Near Road,Providence-New Bedford-Fall River,America/New_York,US,AirNow,False,True,41.771987,-71.427881
2022,Near Road,Miami-Fort Lauderdale-Miami Beach,America/New_York,US,AirNow,False,True,26.131256,-80.167847
2023,Near Road,Louisville,America/Kentucky/Louisville,US,AirNow,False,True,38.1935,-85.7121
2024,Fond du Lac,Fond du Lac,America/Chicago,US,AirNow,False,True,43.6878,-88.4219
2025,Florence,Pittsburgh,America/New_York,US,AirNow,False,True,40.4447,-80.42
2026,Flint,Flint,America/Detroit,US,AirNow,False,True,43.0289,-83.669403
2027,Near Road OKC,Oklahoma City,America/Chicago,US,AirNow,False,True,35.502968,-97.577674
2028,Nederland C1035,Beaumont-Port Arthur,America/Chicago,US,AirNow,False,True,29.9786,-94.0111
2029,Salmon PM2.5,,America/Boise,US,AirNow,False,True,45.178699,-113.892998
2030,Salem - State Hospit,Salem,America/Los_Angeles,US,AirNow,False,True,44.943114,-123.005934
2031,FIVCO,Huntington-Ashland,America/New_York,US,AirNow,False,True,38.4592,-82.6339
2032,Saguaro National Par,Tucson,America/Phoenix,US,AirNow,False,True,32.1764,-110.7378
2033,Saginaw - Delight Va,Eugene-Springfield,America/Los_Angeles,US,AirNow,False,True,43.83447,-123.035375
2034,Sacaton,PINAL,America/Phoenix,US,AirNow,False,True,33.080003,-111.739298
2035,Hayward,San Francisco-Oakland-Fremont,America/Los_Angeles,US,AirNow,False,True,37.6547,-122.0317
2036,New Albany,Columbus,America/New_York,US,AirNow,False,True,40.0845,-82.81552
2038,SUMERDUCK,Washington-Arlington-Alexandria,America/New_York,US,AirNow,False,True,38.47367,-77.76772
2039,Substation,Farmington,America/Denver,US,AirNow,False,True,36.7969,-108.47250000000001
2040,New Castle,New Castle,America/New_York,US,AirNow,False,True,40.9958,-80.3467
2041,New Haven - Criscuol,,America/New_York,US,AirNow,False,True,41.3011,-72.9028
2042,State College,State College,America/New_York,US,AirNow,False,True,40.8114,-77.8769
2043,New Roads,Baton Rouge,America/Chicago,US,AirNow,False,True,30.6817,-91.3661
2044,NewCastle,WESTON,America/Denver,US,AirNow,False,True,43.881401,-104.191902
2045,SPRNGDLE,Fayetteville-Springdale-Rogers,America/Chicago,US,AirNow,False,True,36.1797,-94.1167
2046,SPFD_IB,Springfield,America/Chicago,US,AirNow,False,True,39.831524,-89.640923
2047,DECATUR,Decatur,America/Chicago,US,AirNow,False,True,34.5286,-86.9706
2048,DEER,Harrison,America/Chicago,US,AirNow,False,True,35.8325,-93.2192
2049,South Fayette,Pittsburgh,America/New_York,US,AirNow,False,True,40.381901,-80.1856
2050,SOMERST,Somerset,America/New_York,US,AirNow,False,True,37.097801,-84.611702
